project,views_sum,processed_views_mean
fa.q,1288,2.0232919254658386
fa.s,3041,1.5537652088128906
fa.voy,627,1.813397129186603
fat,297,6.872053872053872
fat.m,105,1.7809523809523808
fdc.m,7,1.2857142857142858
fdc.m.m,1,1
ff,1643,7.647595861229458
ff.m,340,2.4176470588235293
fi,408580,36.32101424445641
fi.b,1011,1.8466864490603363
fi.d,16655,4.060822575803062
fi.m,1193754,67.92806893212504
fi.m.b,1258,1.6327503974562798
fi.m.d,25474,2.173117688623695
fi.m.m,67,2.1044776119402986
fi.m.n,165,1.2303030303030302
fi.m.q,990,2.3313131313131312
fi.m.s,2216,1.220216606498195
fi.m.v,224,1.0714285714285714
fi.m.voy,702,1.5071225071225072
fi.n,387,7.971576227390181
fi.q,878,1.8815489749430523
fi.s,1466,1.311050477489768
fi.v,505,1.8396039603960397
fi.voy,445,1.8089887640449438
fiu-vro,1915,2.285639686684073
fiu-vro.m,1049,1.1887511916110582
fj,991,3.7870837537840565
fj.d,646,2.978328173374613
fj.m,259,1.5637065637065637
fj.m.d,969,1.0185758513931888
fo,5101,1.9053126837874927
fo.d,301,6.255813953488372
fo.m,11881,2.8293072973655415
fo.m.d,126,1.0634920634920635
fo.m.s,289,1.2006920415224913
fo.s,252,2.4285714285714284
fon,400,5.805
fon.m,384,2.8125
foundation.m,37604,47.364003829379854
foundation.m.m,150049,215.08529213790163
fr,7357752,19012.910998902928
fr.b,7872,4.147865853658536
fr.d,138608,18.699685443841624
fr.m,14084612,993.3350382672949
fr.m.b,5331,4.312699305946351
fr.m.d,218657,12.08063313774542
fr.m.n,3157,7.363002850807729
fr.m.q,3447,2.2782129387873513
fr.m.s,138741,1.3453485271116685
fr.m.v,12815,2.7957081545064377
fr.m.voy,5166,2.0553619821912505
fr.n,4081,19.887037490811075
fr.q,4091,3.5636763627474943
fr.s,50267,3.9108958163407403
fr.v,4963,2.691718718517026
fr.voy,4034,2.3753098661378282
frp,2081,2.7818356559346467
frp.m,2959,1.4961135518756337
frr,6067,2.4481621888907203
frr.m,47488,2.707378706199461
fur,1789,2.782001117942985
fur.m,2670,1.2337078651685394
fy,9106,3.635844498133099
fy.b,105,2.4857142857142858
fy.d,487,4.564681724845996
fy.m,7126,1.4361493123772102
fy.m.b,54,1.1111111111111112
fy.m.d,494,1.0283400809716599
ga,17096,639.290126345344
ga.b,25,1.08
ga.d,958,3.7244258872651357
ga.m,26872,1.1053140815718965
ga.m.b,34,1.2941176470588236
ga.m.d,248,1.0806451612903225
ga.m.q,12,1.1666666666666667
ga.q,78,1.4102564102564104
gag,1415,3.898939929328622
gag.m,1937,1.568921011874032
gan,11293,11.108739927388648
gan.m,13238,2.8599486327239765
gcr,1130,2.9716814159292033
gcr.m,1116,1.1594982078853047
gd,5321,1.775042285284721
gd.d,821,2.2423873325213153
gd.m,9526,1.0793617467982364
gd.m.d,2408,1.0332225913621262
ge.m,1907,33.136339800734135
ge.m.m,30,1.2
gl,32181,3.886485814611106
gl.b,312,1.6474358974358974
gl.d,1788,4.840044742729306
gl.m,30295,3.3064532101006767
gl.m.b,207,1.2028985507246377
gl.m.d,3007,1.045892916528101
gl.m.q,95,1.1263157894736842
gl.m.s,591,1.9170896785109983
gl.q,221,1.6877828054298643
gl.s,597,2.0385259631490786
glk,1203,7.972568578553616
glk.m,1690,2.6236686390532546
gn,3153,2.6568347605455123
gn.b,19,1.2105263157894737
gn.d,270,4.622222222222222
gn.m,4617,5.225687675980073
gn.m.b,29,1.206896551724138
gn.m.d,371,1.4851752021563343
gom,1484,2.7641509433962264
gom.d,114,3.0526315789473686
gom.m,4406,1.351339083068543
gom.m.d,103,1.174757281553398
gor,2175,7.459770114942529
gor.d,2301,6.11864406779661
gor.m,5180,2.241312741312741
gor.m.d,466,1.8454935622317596
got,752,4.3962765957446805
got.b,10,1.4
got.m,273,2.5238095238095237
got.m.b,11,1.7272727272727273
gpe,1397,2.9498926270579813
gpe.m,1530,1.3124183006535948
gr.m,38,2.210526315789474
gr.m.m,27,2.7777777777777777
gu,9521,3.0174351433672935
gu.b,37,1.3243243243243243
gu.d,366,3.4153005464480874
gu.m,85627,36.55544396043304
gu.m.b,30,1.3333333333333333
gu.m.d,800,1.22
gu.m.q,370,2.6864864864864866
gu.m.s,14523,3.2202024375129104
gu.q,76,1.7105263157894737
gu.s,2213,1.1979213737008585
guc,438,4.684931506849315
guc.m,479,1.951983298538622
gur,687,4.1965065502183405
gur.m,862,1.1438515081206497
guw,914,3.0131291028446388
guw.d,107,3.1869158878504673
guw.m,1258,1.356120826709062
guw.m.d,25,1.16
guw.m.n,49,1.1224489795918366
guw.m.q,52,1.1538461538461537
guw.n,230,13.930434782608696
guw.q,64,1.75
gv,3379,2.0571174903817697
gv.d,183,5.032786885245901
gv.m,5958,1.064115474991608
gv.m.d,63,1.2857142857142858
ha,9399,5.0814980317055
ha.d,338,5.93491124260355
ha.m,23773,13.723762251293484
ha.m.d,300,2.5933333333333333
hak,3053,2.169996724533246
hak.m,2439,1.1730217302173023
haw,982,3.5010183299389004
haw.m,719,1.6453407510431155
he,518480,22.842288998611327
he.b,2328,1.890893470790378
he.d,9005,3.2107717934480844
he.m,1714714,260.7703768675126
he.m.b,1800,1.7977777777777777
he.m.d,11585,5.747000431592577
he.m.n,232,1.4482758620689655
he.m.q,6281,6.966565833466008
he.m.s,140856,4.195831203498608
he.m.voy,1932,2.1697722567287783
he.n,399,10.408521303258146
he.q,3031,2.992081821181128
he.s,52833,2.4352393390494576
he.voy,1277,1.6358653093187157
hi,116124,3.798818504357411
hi.b,1381,1.9355539464156408
hi.d,3295,3.0661608497723822
hi.m,1229112,39.387723820123796
hi.m.b,15398,14.790881932718534
hi.m.d,16502,17.48357774815174
hi.m.m,68,8.470588235294118
hi.m.q,764,3.641361256544503
hi.m.s,12641,1.333201487224112
hi.m.v,1365,2.3597069597069598
hi.m.voy,902,6.76940133037694
hi.q,306,1.6601307189542485
hi.s,4655,2.6150375939849626
hi.v,474,1.6708860759493671
hi.voy,238,2.630252100840336
hif,4032,2.0024801587301586
hif.d,159,2.710691823899371
hif.m,7124,1.1844469399213924
hif.m.d,103,1.1359223300970873
ho,206,7.145631067961165
ho.m,29,1.7586206896551724
hr,106753,6.702809288731933
hr.b,349,1.9856733524355301
hr.d,1471,2.8653976886471786
hr.m,382225,66.64482176728367
hr.m.b,230,1.391304347826087
hr.m.d,2134,1.5145267104029991
hr.m.q,486,2.2386831275720165
hr.m.s,5282,1.357061719045816
hr.q,335,1.7223880597014924
hr.s,925,1.5362162162162163
hsb,3063,2.1230819458047665
hsb.d,207,3.898550724637681
hsb.m,1978,1.4641051567239636
hsb.m.d,124,1.032258064516129
ht,5012,2.043096568236233
