project,views,processed_views
eo.m.s,4266,1.1137077300619105
eo.m.voy,488,1.358930409377141
eo.n,1159,18.667986927733367
eo.q,933,2.551057866052125
eo.s,1671,3.24742151442112
eo.voy,403,1.826932879212291
es,6165915,586.2818662970086
es.b,6297,4.660524081890157
es.d,59909,3.5417473034437523
es.m,17997318,1447.703180613751
es.m.b,7812,2.8111843714757865
es.m.d,127642,6.115760193846079
es.m.n,1532,2.223073606472996
es.m.q,3490,3.7567227980133127
es.m.s,52009,4.097348438010165
es.m.v,1928,6.33434374312884
es.m.voy,3532,3.1919919826218464
es.n,3444,12.258013549087352
es.q,4276,9.194020612043472
es.s,37511,2.4837946452684614
es.v,1736,5.056729264972564
es.voy,2770,3.6082545339399665
et,91482,5.653654783892505
et.b,238,3.498642676767677
et.d,2176,6.889777183022404
et.m,123459,4.920969918028778
et.m.b,70,1.26
et.m.d,3826,1.1632857875045695
et.m.q,1268,3.176108469780049
et.m.s,1877,1.128141414783217
et.q,1250,1.8884390188659148
et.s,1115,3.9319788346920035
eu,31345,5.9039917913381075
eu.b,295,1.9057840707368738
eu.d,1068,8.470678886887756
eu.m,23745,12.869496682433528
eu.m.b,295,1.0458646616541354
eu.m.d,1794,1.061372739896883
eu.m.q,60,1.355263157894737
eu.m.s,1001,1.0890580278608266
eu.q,189,2.2086648913951543
eu.s,655,2.075277380800824
ext,1891,2.8345610381075983
ext.m,2561,3.177626502615267
fa,531242,28.33502590212204
fa.b,759,4.305539201346991
fa.d,2100,5.64342219763763
fa.m,7188973,770.9972165807095
fa.m.b,2290,7.09809623706279
fa.m.d,10066,5.621522301257277
fa.m.n,361,3.15718746482465
fa.m.q,5678,6.125959350118567
fa.m.s,12912,3.0667142735776953
fa.m.voy,1587,6.433745970673784
fa.n,618,26.60980183280127
fa.q,1288,2.7166748037999575
fa.s,3041,2.0873908750130377
fa.voy,627,2.3626838476598273
fat,297,29.021064814814817
fat.m,105,2.4075757575757577
fdc.m,7,1.3
fdc.m.m,1,1.0
ff,1643,12.66859426134475
ff.m,340,3.735822723285358
fi,408580,43.68785246585324
fi.b,1011,2.104573962211036
fi.d,16655,5.405736329186225
fi.m,1193754,99.09855757870088
fi.m.b,1258,2.048192245417822
fi.m.d,25474,2.42104196052259
fi.m.m,67,3.3333333333333335
fi.m.n,165,1.8897727272727274
fi.m.q,990,2.991434039371818
fi.m.s,2216,1.600512932004406
fi.m.v,224,1.5555555555555554
fi.m.voy,702,1.6816606959154161
fi.n,387,20.46150693239509
fi.q,878,2.2648988977275106
fi.s,1466,1.7754295438550625
fi.v,505,4.631227633696121
fi.voy,445,2.2324871043335004
fiu-vro,1915,2.9729224067392743
fiu-vro.m,1049,1.3114080859961723
fj,991,5.896362978662033
fj.d,646,6.0701100822698
fj.m,259,1.8482473544973546
fj.m.d,969,1.0314808314808315
fo,5101,2.491359658841752
fo.d,301,15.046868987493987
fo.m,11881,6.320942768462641
fo.m.d,126,1.1202898550724638
fo.m.s,289,2.223667952745967
fo.s,252,7.643705765134337
fon,400,12.243137900746596
fon.m,384,2.634194739915564
foundation.m,37604,146.89319013269406
foundation.m.m,150049,2133.3614985577115
fr,7357752,65476.74236121611
fr.b,7872,5.843022150967931
fr.d,138608,27.927784927547346
fr.m,14084612,2801.325682942322
fr.m.b,5331,5.757853830185698
fr.m.d,218657,17.46233799678618
fr.m.n,3157,25.75007581675028
fr.m.q,3447,3.005644000549628
fr.m.s,138741,2.4840590013286774
fr.m.v,12815,3.572870323560584
fr.m.voy,5166,2.579162863076159
fr.n,4081,43.516146055891
fr.q,4091,5.066630148282225
fr.s,50267,4.5738375930224295
fr.v,4963,3.2012842890869755
fr.voy,4034,3.1105916518141505
frp,2081,3.851492942998998
frp.m,2959,1.6865594545801603
frr,6067,3.200075763074505
frr.m,47488,1.6914366269363381
fur,1789,3.7449531069623903
fur.m,2670,1.3493950223717468
fy,9106,4.57897009876481
fy.b,105,4.533549783549784
fy.d,487,12.689970893908905
fy.m,7126,1.692964793604051
fy.m.b,54,1.2550000000000001
fy.m.d,494,1.0417881825776563
ga,17096,1180.7214497087166
ga.b,25,1.2142857142857142
ga.d,958,8.208077870081224
ga.m,26872,1.5522971321412367
ga.m.b,34,1.3626373626373627
ga.m.d,248,1.145343828320802
ga.m.q,12,1.375
ga.q,78,1.6378787878787877
gag,1415,5.223235097320487
gag.m,1937,1.8397772384511193
gan,11293,31.717300253094248
gan.m,13238,4.847431433735436
gcr,1130,4.148755198222056
gcr.m,1116,1.2242940261039332
gd,5321,2.194280854040146
gd.d,821,8.807134484825864
gd.m,9526,1.2666093723987446
gd.m.d,2408,1.167081638834918
ge.m,1907,415.6328899110149
ge.m.m,30,1.375
gl,32181,4.5488626998758015
gl.b,312,1.836019780872722
gl.d,1788,11.46045640697131
gl.m,30295,3.863726177625576
gl.m.b,207,1.3303342490842491
gl.m.d,3007,1.1020618323335662
gl.m.q,95,1.5125
gl.m.s,591,4.320858539055993
gl.q,221,1.9843795093795096
gl.s,597,4.025078526945144
glk,1203,16.219664585352664
glk.m,1690,3.2169188417274435
gn,3153,3.470207203742753
gn.b,19,1.375
gn.d,270,15.820585317460319
gn.m,4617,7.720755559193421
gn.m.b,29,1.0803571428571428
gn.m.d,371,1.839094223880408
gom,1484,4.797056418125643
gom.d,114,7.967391304347826
gom.m,4406,2.1867984943013856
gom.m.d,103,1.5386363636363638
gor,2175,13.050616875050023
gor.d,2301,7.907158390899984
gor.m,5180,2.8046014399115364
gor.m.d,466,3.1510450474565306
got,752,7.312818523621837
got.b,10,1.3
got.m,273,5.194518097643098
got.m.b,11,2.7142857142857144
gpe,1397,5.456172710363904
gpe.m,1530,1.779407941887188
gr.m,38,2.461111111111111
gr.m.m,27,5.0
gu,9521,3.9569077986459518
gu.b,37,1.5333333333333334
gu.d,366,14.537100155279504
gu.m,85627,96.76316502644102
gu.m.b,30,1.796875
gu.m.d,800,1.5296543612049616
gu.m.q,370,2.863776154401154
gu.m.s,14523,7.4264702459886225
gu.q,76,2.359090909090909
gu.s,2213,1.6207609364617375
guc,438,8.978985366485366
guc.m,479,2.290494403203248
gur,687,23.06226912701126
gur.m,862,3.9319375211155525
guw,914,10.52149118776274
guw.d,107,6.523913043478261
guw.m,1258,2.5747491510794416
guw.m.d,25,1.2
guw.m.n,49,1.5294117647058822
guw.m.q,52,1.325
guw.n,230,65.48958333333333
guw.q,64,2.2404761904761905
gv,3379,2.736218697508218
gv.d,183,16.660416666666666
gv.m,5958,1.276249071093935
gv.m.d,63,1.5833333333333333
ha,9399,7.787761758659944
ha.d,338,14.894890873015873
ha.m,23773,32.022126448703894
ha.m.d,300,4.293816304202333
hak,3053,2.6144154393498025
hak.m,2439,1.2491213268097325
haw,982,5.024051179774897
haw.m,719,1.7147207522567085
he,518480,31.37753718228313
he.b,2328,2.241253220664525
he.d,9005,4.587184700566115
he.m,1714714,544.1025203467541
he.m.b,1800,2.253437674174044
he.m.d,11585,8.108838110081242
he.m.n,232,2.7036299348799346
he.m.q,6281,9.200365363555022
he.m.s,140856,12.667073555686038
he.m.voy,1932,2.9536334731360867
he.n,399,34.36978672521436
he.q,3031,3.9461799204978227
he.s,52833,3.019494508996613
he.voy,1277,2.061724383652635
hi,116124,5.080777653746927
hi.b,1381,2.597550477353194
hi.d,3295,4.549631392040079
hi.m,1229112,106.54788521772305
hi.m.b,15398,37.644628152109036
hi.m.d,16502,24.33299075983619
hi.m.m,68,18.847368421052632
hi.m.q,764,5.587330736495118
hi.m.s,12641,2.296697219920159
hi.m.v,1365,5.176559071320175
hi.m.voy,902,11.038702662286367
hi.q,306,2.383390989457166
hi.s,4655,4.867464010653976
hi.v,474,3.067894438131903
hi.voy,238,4.9508597883597885
hif,4032,2.6616454259275115
hif.d,159,5.144820226070226
hif.m,7124,1.4955437086517158
hif.m.d,103,1.4253968253968254
ho,206,32.30902777777778
ho.m,29,2.65625
hr,106753,9.736782625337016
hr.b,349,2.411119725182225
hr.d,1471,4.665767998924495
hr.m,382225,92.3537213296196
hr.m.b,230,1.8844404472161826
hr.m.d,2134,1.71167624251724
hr.m.q,486,3.446766044627887
hr.m.s,5282,3.1647687796019794
hr.q,335,2.1164639439423922
hr.s,925,2.37783670950189
hsb,3063,2.5749781239330107
hsb.d,207,11.70560064935065
hsb.m,1978,1.808743299080845
hsb.m.d,124,1.1
ht,5012,2.393545826291629
ht.m,4248,1.5262887788768402
ht.m.s,858,15.309945859295567
ht.s,409,1.2525999549881974
hu,479453,44.683779496602945
hu.b,2424,2.030677845246293
hu.d,6277,2.8006457661925155
hu.m,1109547,443.12497441169336
hu.m.b,3239,3.3452947200444685
hu.m.d,53129,3.271066707594798
hu.m.n,237,8.034199134199135
hu.m.q,617,3.3352307968169397
